model_key;arch_display;size_gb;vram_available;n_layers;hidden_dim;kv_bytes_per_element;num_parallel_cfg;use_unified_kv_cfg;context_length_cfg;ctx_formula;abs_error;rel_error_pct;kv_cache_reg_gb;max_context_length_native
openai/gpt-oss-20b;moe;12.11;3.290000000000001;24.0;2880.0;4.0;4;True;16384.0;1487.4493634259263;14896.550636574073;90.9;217.43;131072.0
unsloth/phi-4;dense;10.41;4.99;40.0;5120.0;1.5;1;True;7342.0;8121.744791666667;779.744791666667;10.6;60.4;16384.0
unsloth/devstral-small-2-24b-instruct-2512;dense;12.16;3.24;40.0;5120.0;1.125;1;True;90112.0;7031.250000000001;83080.75;92.2;30.2;393216.0
unsloth/ernie-4.5-21b-a3b-pt@iq4_nl;moe;12.48;2.92;28.0;2560.0;2.625;4;True;3030.0;1939.8384353741496;1090.1615646258504;36.0;68.3;131072.0
tiiuae/falcon3-10b-instruct;dense;10.96;4.4399999999999995;40.0;3072.0;1.5;1;True;11785.0;12044.270833333332;259.2708333333321;2.2;36.24;32768.0
mradermacher/gemma-4-19b-a4b-it-reap-i1@q4_k_m;moe;12.53;2.870000000000001;30.0;2816.0;4.0;4;True;8192.0;1061.6418087121215;7130.358191287878;87.0;49.83;262144.0
mradermacher/gemma-4-26b-a4b-it-i1@iq4_xs;moe;13.92;1.4800000000000004;30.0;2816.0;4.0;4;True;2048.0;547.4668560606062;1500.5331439393938;73.3;33.22;262144.0
bartowski/google_gemma-4-26b-a4b-it@q3_k_s;moe;0.0;15.4;30.0;2816.0;4.0;4;True;2048.0;5696.614583333333;3648.614583333333;178.2;44.29;262144.0
unsloth/gemma-4-26b-a4b-it@iq3_s;moe;13.58;1.8200000000000003;30.0;2816.0;4.0;4;True;2048.0;673.236268939394;1374.763731060606;67.1;22.15;
ibm-granite/granite-4.0-h-tiny;moe;7.39;8.010000000000002;40.0;1536.0;1.625;4;True;480000.0;10028.545673076924;469971.45432692306;97.9;193.27;1048576.0
ibm-granite/granite-4.1-30b;dense;12.57;2.83;64.0;4096.0;1.125;1;True;49152.0;4798.041449652778;44353.95855034722;90.2;38.65;131072.0
unsloth/januscoder-14b;dense;12.12;3.280000000000001;40.0;5120.0;1.625;1;True;4774.0;4927.884615384617;153.88461538461706;3.2;21.81;32768.0
jetbrains/mellum2-12b-a2.5b-instruct;moe;8.07;7.33;28.0;2304.0;1.625;4;True;8619.0;8740.174755799755;121.17475579975508;1.4;202.94;131072.0
lmstudio-community/ministral-3-14b-instruct-2512;dense;11.97;3.4299999999999997;40.0;5120.0;1.125;1;True;65536.0;7443.576388888889;58092.42361111111;88.6;40.27;262144.0
mradermacher/kimi-linear-reap-35b-a3b-instruct.i1;moe;13.62;1.7800000000000011;27.0;2304.0;1.625;4;True;262144.0;2201.0525482747717;259942.94745172522;99.2;24.46;1048576.0
mradermacher/nemotron-cascade-14b-thinking;dense;10.51;4.890000000000001;40.0;5120.0;1.625;1;True;98304.0;7346.7548076923085;90957.24519230769;92.5;60.4;131072.0
unsloth/qwen3-30b-a3b-instruct-2507;moe;13.29;2.110000000000001;48.0;2048.0;1.125;4;True;65536.0;2384.8922164351866;63151.10778356481;96.4;38.65;262144.0
unsloth/qwen3-coder-30b-a3b-instruct;moe;13.29;2.110000000000001;48.0;2048.0;1.125;4;True;65536.0;2384.8922164351866;63151.10778356481;96.4;38.65;262144.0
mradermacher/qwen3-coder-reap-25b-a3b-i1;moe;12.0;3.4000000000000004;48.0;2048.0;1.125;4;True;3725.0;3842.954282407408;117.95428240740785;3.2;57.98;262144.0
mradermacher/qwen3-coder-reap-25b-a3b;moe;12.0;3.4000000000000004;48.0;2048.0;1.125;4;True;90112.0;3842.954282407408;86269.0457175926;95.7;57.98;262144.0
unsloth/north-mini-code-1.0;moe;12.77;2.630000000000001;49.0;2048.0;1.5;4;True;262144.0;2183.9790603741503;259960.02093962586;99.2;59.19;500000.0
qwen/qwen2.5-coder-14b-instruct@q5_0;dense;10.27;5.130000000000001;48.0;5120.0;1.125;1;False;65536.0;9277.343750000002;56258.65625;85.8;72.48;131072.0
qwen/qwen2.5-coder-14b-instruct@q5_k_m;dense;10.51;4.890000000000001;48.0;5120.0;1.125;1;False;65536.0;8843.315972222223;56692.68402777778;86.5;72.48;131072.0
qwen/qwen2.5-coder-14b-instruct@q6_k;dense;12.12;3.280000000000001;48.0;5120.0;1.125;1;False;65536.0;5931.712962962964;59604.28703703704;90.9;36.24;131072.0
Qwen/Qwen3.5-9B-GGUF@q6_k;dense;8.28;7.120000000000001;32.0;4096.0;1.625;1;False;32768.0;16714.24278846154;16053.757211538461;49.0;13.96;
unsloth/qwen3.6-27b;dense;14.2;1.200000000000001;64.0;5120.0;1.125;1;True;16384.0;1627.604166666668;14756.395833333332;90.1;16.11;262144.0
unsloth/qwen3.6-27b-mtp;mtp;14.42;0.9800000000000004;65.0;5120.0;1.125;4;True;16384.0;327.1901709401711;16056.809829059828;98.0;65.43;262144.0
mradermacher/qwen3.6-27b-i1;dense;12.07;3.33;64.0;5120.0;1.5;4;True;98304.0;846.8627929687501;97457.13720703125;99.1;193.27;262144.0
mradermacher/qwen3.6-28b-reap-i1@iq3_s;moe;12.48;2.92;40.0;2048.0;1.5;4;False;32768.0;2970.377604166667;29797.622395833332;90.9;48.32;262144.0
mradermacher/qwen3.6-28b-reap-i1@q3_k_s;moe;12.41;2.99;40.0;2048.0;1.5;4;False;32768.0;3041.585286458334;29726.414713541664;90.7;48.32;262144.0
bartowski/mistralai_magistral-small-2509;dense;11.47;3.9299999999999997;40.0;5120.0;1.125;1;True;98304.0;8528.645833333334;89775.35416666667;91.3;40.27;131072.0
lmstudio-community/deepseek-r1-distill-qwen-14b;dense;12.12;3.280000000000001;48.0;5120.0;1.625;1;True;16384.0;4106.570512820514;12277.429487179486;74.9;36.24;131072.0
vinpix/ternary-bonsai-27b-stock-mtp@tq2_0;mtp;8.79;6.610000000000001;65.0;5120.0;2.0;1;True;196000.0;4965.444711538462;191034.55528846153;97.5;1043.66;262144.0
vinpix/ternary-bonsai-27b-stock-mtp@q2_k;mtp;10.49;4.91;65.0;5120.0;2.0;1;True;196000.0;3688.4014423076924;192311.5985576923;98.1;173.25;262144.0
prism-ml/bonsai-27b@q1_0;dense;4.73;10.67;64.0;5120.0;2.0;1;True;196000.0;8140.56396484375;187859.43603515625;95.8;343.6;262144.0
lmstudio-community/deepseek-coder-v2-lite-instruct;moe;11.85;3.5500000000000007;27.0;2048.0;1.5;4;True;16384.0;5349.995177469137;11034.004822530864;67.3;43.49;163840.0
